         5675785 function calls (5660939 primitive calls) in 747.742 seconds

   Ordered by: cumulative time
   List reduced from 1676 to 503 due to restriction <0.3>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     3561    0.146    0.000    1.080    0.000 C:\Users\16413\Desktop\Job\Business\Test Techniques\RJ_HIBG\modular_automation\venv_x86\Lib\site-packages\openpyxl\worksheet\_writer.py:130(write_row)
        5    0.000    0.000    1.052    0.210 C:\Users\16413\Desktop\Job\Business\Test Techniques\RJ_HIBG\modular_automation\venv_x86\Lib\site-packages\openpyxl\reader\excel.py:314(load_workbook)
        5    0.002    0.000    1.035    0.207 C:\Users\16413\Desktop\Job\Business\Test Techniques\RJ_HIBG\modular_automation\venv_x86\Lib\site-packages\openpyxl\reader\excel.py:284(read)
        2    0.000    0.000    0.961    0.481 C:\Users\16413\Desktop\Job\Business\Test Techniques\RJ_HIBG\modular_automation\modules\http_api.py:6(http_post)
        2    0.000    0.000    0.961    0.481 C:\Users\16413\Desktop\Job\Business\Test Techniques\RJ_HIBG\modular_automation\venv_x86\Lib\site-packages\requests\api.py:103(post)
        2    0.000    0.000    0.961    0.481 C:\Users\16413\Desktop\Job\Business\Test Techniques\RJ_HIBG\modular_automation\venv_x86\Lib\site-packages\requests\api.py:14(request)
        2    0.000    0.000    0.960    0.480 C:\Users\16413\Desktop\Job\Business\Test Techniques\RJ_HIBG\modular_automation\venv_x86\Lib\site-packages\requests\sessions.py:502(request)
        2    0.000    0.000    0.927    0.463 C:\Users\16413\Desktop\Job\Business\Test Techniques\RJ_HIBG\modular_automation\venv_x86\Lib\site-packages\requests\sessions.py:673(send)
        2    0.000    0.000    0.911    0.456 C:\Users\16413\Desktop\Job\Business\Test Techniques\RJ_HIBG\modular_automation\venv_x86\Lib\site-packages\requests\adapters.py:434(send)
        2    0.000    0.000    0.907    0.453 C:\Users\16413\Desktop\Job\Business\Test Techniques\RJ_HIBG\modular_automation\venv_x86\Lib\site-packages\urllib3\connectionpool.py:595(urlopen)
        2    0.000    0.000    0.904    0.452 C:\Users\16413\Desktop\Job\Business\Test Techniques\RJ_HIBG\modular_automation\venv_x86\Lib\site-packages\urllib3\connectionpool.py:380(_make_request)
    17808    0.383    0.000    0.896    0.000 C:\Users\16413\Desktop\Job\Business\Test Techniques\RJ_HIBG\modular_automation\venv_x86\Lib\site-packages\openpyxl\cell\_writer.py:99(lxml_write_cell)
   146923    0.419    0.000    0.861    0.000 C:\Users\16413\Desktop\Job\Business\Test Techniques\RJ_HIBG\modular_automation\venv_x86\Lib\site-packages\openpyxl\compat\strings.py:12(safe_string)
        4    0.000    0.000    0.816    0.204 C:\Users\16413\AppData\Local\Programs\Python\Python311-32\Lib\socket.py:692(readinto)
        2    0.000    0.000    0.809    0.405 C:\Users\16413\Desktop\Job\Business\Test Techniques\RJ_HIBG\modular_automation\venv_x86\Lib\site-packages\urllib3\connection.py:435(getresponse)
        2    0.000    0.000    0.807    0.404 C:\Users\16413\AppData\Local\Programs\Python\Python311-32\Lib\http\client.py:1334(getresponse)
        2    0.000    0.000    0.807    0.403 C:\Users\16413\AppData\Local\Programs\Python\Python311-32\Lib\http\client.py:311(begin)
       33    0.000    0.000    0.804    0.024 {method 'readline' of '_io.BufferedReader' objects}
        2    0.000    0.000    0.804    0.402 C:\Users\16413\AppData\Local\Programs\Python\Python311-32\Lib\http\client.py:278(_read_status)
        5    0.005    0.001    0.792    0.158 C:\Users\16413\Desktop\Job\Business\Test Techniques\RJ_HIBG\modular_automation\venv_x86\Lib\site-packages\openpyxl\styles\stylesheet.py:188(apply_stylesheet)
     7601    0.234    0.000    0.674    0.000 {method 'join' of 'str' objects}
        3    0.001    0.000    0.619    0.206 C:\Users\16413\Desktop\Job\Business\Test Techniques\RJ_HIBG\modular_automation\modules\excel_handler.py:10(read_template)
930136/930128    0.612    0.000    0.613    0.000 {built-in method builtins.isinstance}
 2175/256    0.073    0.000    0.580    0.002 C:\Users\16413\Desktop\Job\Business\Test Techniques\RJ_HIBG\modular_automation\venv_x86\Lib\site-packages\openpyxl\descriptors\serialisable.py:46(from_tree)
        5    0.000    0.000    0.523    0.105 C:\Users\16413\Desktop\Job\Business\Test Techniques\RJ_HIBG\modular_automation\venv_x86\Lib\site-packages\openpyxl\styles\stylesheet.py:97(from_tree)
        1    0.000    0.000    0.503    0.503 C:\Users\16413\Desktop\Job\Business\Test Techniques\RJ_HIBG\modular_automation\modules\webhook_api.py:4(webhook_send)
    17808    0.143    0.000    0.503    0.000 C:\Users\16413\Desktop\Job\Business\Test Techniques\RJ_HIBG\modular_automation\venv_x86\Lib\site-packages\openpyxl\cell\_writer.py:12(_set_attributes)
    35989    0.213    0.000    0.498    0.000 C:\Users\16413\Desktop\Job\Business\Test Techniques\RJ_HIBG\modular_automation\venv_x86\Lib\site-packages\openpyxl\worksheet\worksheet.py:252(_get_cell)
        1    0.000    0.000    0.473    0.473 C:\Users\16413\Desktop\Job\Business\Test Techniques\RJ_HIBG\modular_automation\modules\http_eweb_api.py:34(eweb_get_sid)
     3561    0.026    0.000    0.471    0.000 C:\Program Files\JetBrains\PyCharm Community Edition 2022.3.2\plugins\python-ce\helpers\pydev\_pydev_bundle\pydev_monkey.py:845(pydev_start_new_thread)
    17818    0.082    0.000    0.451    0.000 C:\Users\16413\Desktop\Job\Business\Test Techniques\RJ_HIBG\modular_automation\venv_x86\Lib\site-packages\openpyxl\cell\cell.py:215(value)
        2    0.000    0.000    0.444    0.222 C:\Users\16413\Desktop\Job\Business\Test Techniques\RJ_HIBG\modular_automation\modules\excel_handler.py:43(read_testcases)
    32040    0.206    0.000    0.440    0.000 C:\Users\16413\Desktop\Job\Business\Test Techniques\RJ_HIBG\modular_automation\hooks\cmd_injection.py:122(<genexpr>)
     3561    0.438    0.000    0.438    0.000 {built-in method _thread.start_new_thread}
        3    0.422    0.141    0.422    0.141 {method 'recv_into' of '_socket.socket' objects}
        1    0.000    0.000    0.395    0.395 C:\Users\16413\AppData\Local\Programs\Python\Python311-32\Lib\ssl.py:1267(recv_into)
        1    0.000    0.000    0.395    0.395 C:\Users\16413\AppData\Local\Programs\Python\Python311-32\Lib\ssl.py:1125(read)
        1    0.395    0.395    0.395    0.395 {method 'read' of '_ssl._SSLSocket' objects}
    14255    0.375    0.000    0.375    0.000 {built-in method nt.getcwd}
    17818    0.160    0.000    0.370    0.000 C:\Users\16413\Desktop\Job\Business\Test Techniques\RJ_HIBG\modular_automation\venv_x86\Lib\site-packages\openpyxl\cell\cell.py:176(_bind_value)
1067628/1067624    0.347    0.000    0.347    0.000 {built-in method builtins.getattr}
    85590    0.252    0.000    0.309    0.000 {method 'format' of 'str' objects}
     3561    0.123    0.000    0.304    0.000 C:\Users\16413\AppData\Local\Programs\Python\Python311-32\Lib\threading.py:849(__init__)
    17812    0.086    0.000    0.284    0.000 C:\Users\16413\Desktop\Job\Business\Test Techniques\RJ_HIBG\modular_automation\venv_x86\Lib\site-packages\openpyxl\styles\styleable.py:140(style_id)
      250    0.001    0.000    0.247    0.001 C:\Users\16413\Desktop\Job\Business\Test Techniques\RJ_HIBG\modular_automation\venv_x86\Lib\site-packages\openpyxl\styles\named_styles.py:106(bind)
      250    0.008    0.000    0.245    0.001 C:\Users\16413\Desktop\Job\Business\Test Techniques\RJ_HIBG\modular_automation\venv_x86\Lib\site-packages\openpyxl\styles\named_styles.py:114(_recalculate)
    28480    0.128    0.000    0.235    0.000 C:\Users\16413\AppData\Local\Programs\Python\Python311-32\Lib\random.py:367(choice)
