         44177217 function calls (43296146 primitive calls) in 2347.560 seconds

   Ordered by: cumulative time
   List reduced from 1905 to 572 due to restriction <0.3>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
  8995488   17.272    0.000   23.560    0.000 C:\Python312-32\Lib\site-packages\keyboard\__init__.py:317(<genexpr>)
3562/3553    0.095    0.000   17.883    0.005 C:\Python312-32\Lib\site-packages\urllib3\connection.py:197(_new_conn)
3562/3553    0.098    0.000   16.648    0.005 C:\Python312-32\Lib\site-packages\urllib3\util\connection.py:27(create_connection)
3563/3554   15.209    0.004   15.090    0.004 {method 'connect' of '_socket.socket' objects}
        1    0.000    0.000   10.012   10.012 D:\RjDir\admin_d95c8884-f44c-4529-8f3b-48d5788371c1\Downloads\业务文档\NPEE\408\OS\2024\ModularAutomation\hooks\cmd_injection.py:142(h8)
60737/33443   13.152    0.000    6.987    0.000 {built-in method builtins.print}
  8995488    5.942    0.000    6.288    0.000 C:\Python312-32\Lib\site-packages\keyboard\_winkeyboard.py:567(map_name)
     3562    0.177    0.000    4.177    0.001 C:\Python312-32\Lib\site-packages\requests\sessions.py:459(prepare_request)
     3562    0.046    0.000    3.071    0.001 C:\Python312-32\Lib\site-packages\requests\utils.py:824(get_environ_proxies)
     3562    0.055    0.000    2.666    0.001 C:\Python312-32\Lib\site-packages\requests\adapters.py:331(get_connection)
    36922    0.182    0.000    2.576    0.000 C:\Python312-32\Lib\site-packages\openpyxl\utils\indexed_list.py:47(add)
        1    0.000    0.000    2.574    2.574 D:\RjDir\admin_d95c8884-f44c-4529-8f3b-48d5788371c1\Downloads\业务文档\NPEE\408\OS\2024\ModularAutomation\modules\excel_handler.py:108(write_summary)
        1    0.000    0.000    2.565    2.565 C:\Python312-32\Lib\site-packages\openpyxl\workbook\workbook.py:373(save)
        1    0.000    0.000    2.565    2.565 C:\Python312-32\Lib\site-packages\openpyxl\writer\excel.py:279(save_workbook)
        1    0.000    0.000    2.550    2.550 C:\Python312-32\Lib\site-packages\openpyxl\writer\excel.py:273(save)
        1    0.001    0.001    2.549    2.549 C:\Python312-32\Lib\site-packages\openpyxl\writer\excel.py:54(write_data)
    17818    0.122    0.000    2.523    0.000 C:\Python312-32\Lib\site-packages\openpyxl\styles\styleable.py:23(__set__)
 86186/17    1.349    0.000    2.474    0.146 C:\Python312-32\Lib\queue.py:154(get)
        1    0.000    0.000    2.470    2.470 C:\Python312-32\Lib\site-packages\openpyxl\writer\excel.py:208(_write_worksheets)
        1    0.000    0.000    2.470    2.470 C:\Python312-32\Lib\site-packages\openpyxl\writer\excel.py:190(write_worksheet)
        1    0.000    0.000    2.441    2.441 C:\Python312-32\Lib\site-packages\openpyxl\worksheet\_writer.py:354(write)
     3562    0.042    0.000    2.285    0.001 C:\Python312-32\Lib\site-packages\urllib3\poolmanager.py:357(connection_from_url)
     3562    0.098    0.000    2.233    0.001 C:\Python312-32\Lib\site-packages\requests\models.py:352(prepare)
     7124    0.941    0.000    2.118    0.000 C:\Python312-32\Lib\urllib\request.py:2505(getproxies_environment)
     6922    0.030    0.000    2.033    0.000 C:\Python312-32\Lib\site-packages\requests\models.py:887(content)
    35448    0.043    0.000    2.009    0.000 {method 'join' of 'bytes' objects}
     6948    0.031    0.000    1.965    0.000 C:\Python312-32\Lib\site-packages\requests\models.py:812(generate)
     3562    0.097    0.000    1.936    0.001 C:\Python312-32\Lib\site-packages\requests\utils.py:764(should_bypass_proxies)
     6948    0.043    0.000    1.931    0.000 C:\Python312-32\Lib\site-packages\urllib3\response.py:912(stream)
49586/49583    0.112    0.000    1.868    0.000 {built-in method builtins.next}
     3474    0.104    0.000    1.859    0.001 C:\Python312-32\Lib\site-packages\urllib3\response.py:841(read)
14082/14081    0.027    0.000    1.815    0.000 C:\Python312-32\Lib\contextlib.py:141(__exit__)
    10686    0.321    0.000    1.795    0.000 C:\Python312-32\Lib\site-packages\urllib3\util\url.py:369(parse_url)
     3474    0.031    0.000    1.790    0.001 C:\Python312-32\Lib\http\client.py:245(parse_headers)
     3474    0.045    0.000    1.650    0.000 C:\Python312-32\Lib\http\client.py:231(_parse_header_lines)
     6948    0.127    0.000    1.641    0.000 C:\Python312-32\Lib\site-packages\urllib3\response.py:799(_raw_read)
     3474    0.039    0.000    1.595    0.000 C:\Python312-32\Lib\email\parser.py:56(parsestr)
36938/36858    0.420    0.000    1.572    0.000 C:\Python312-32\Lib\site-packages\openpyxl\descriptors\serialisable.py:173(__eq__)
     7126    0.014    0.000    1.572    0.000 C:\Python312-32\Lib\site-packages\et_xmlfile\xmlfile.py:25(element)
       11    0.000    0.000    1.558    0.142 C:\Python312-32\Lib\site-packages\openpyxl\worksheet\_writer.py:287(get_stream)
    24928    1.153    0.000    1.558    0.000 C:\Python312-32\Lib\site-packages\urllib3\util\url.py:227(_encode_invalid_chars)
        1    0.000    0.000    1.557    1.557 C:\Python312-32\Lib\site-packages\openpyxl\worksheet\_writer.py:364(close)
        1    0.000    0.000    1.557    1.557 {method 'close' of 'generator' objects}
     3474    0.049    0.000    1.556    0.000 C:\Python312-32\Lib\email\parser.py:41(parse)
        1    0.000    0.000    1.554    1.554 C:\Python312-32\Lib\site-packages\et_xmlfile\xmlfile.py:76(_write_element)
     3562    0.036    0.000    1.519    0.000 C:\Python312-32\Lib\site-packages\urllib3\poolmanager.py:277(connection_from_host)
     3562    0.043    0.000    1.473    0.000 C:\Python312-32\Lib\site-packages\urllib3\poolmanager.py:306(connection_from_context)
     3562    0.066    0.000    1.423    0.000 C:\Python312-32\Lib\site-packages\requests\utils.py:112(proxy_bypass)
        9    0.000    0.000    1.340    0.149 C:\Python312-32\Lib\xml\etree\ElementTree.py:1066(tostring)
        9    0.000    0.000    1.340    0.149 C:\Python312-32\Lib\xml\etree\ElementTree.py:678(write)
     3562    0.055    0.000    1.338    0.000 C:\Python312-32\Lib\urllib\request.py:2728(getproxies)
     3562    0.056    0.000    1.300    0.000 C:\Python312-32\Lib\site-packages\urllib3\poolmanager.py:331(connection_from_pool_key)
3276143/3262247    1.096    0.000    1.298    0.000 {built-in method builtins.isinstance}
     3501    0.020    0.000    1.295    0.000 C:\Python312-32\Lib\weakref.py:585(__call__)
